name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank
Det borde man ju veta!,Available,Available,2024-12-21 14:48:19,No Change,137167,...I should have known that!,2011,"Best with 2, 4 players",Recommended with 2–4 players,5.0825,145,26267
Dixit,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,39856,Dixit,2008,Best with 5–6 players,Recommended with 4–8 players,7.19459,66376,393
Dorfromantik: The Duel,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,395364,Dorfromantik: The Duel,2023,Best with 2 players,Recommended with 2 players,7.10526,365,5570
Dragomino,Available,Available,2024-12-21 14:48:19,No Change,300010,Dragomino,2020,Best with 3–4 players,Recommended with 2–4 players,7.06275,2477,1729
DubbelYatzy,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,146227,DubbelYatzy,2013,Best with 2 players,Recommended with 1–6 players,6.19355,31,21304
Dungeon Mayhem: Monster Madness,Available,Available,2024-12-21 14:48:19,No Change,295577,Dungeon Mayhem: Monster Madness,2020,Best with 4 players,Recommended with 2–6 players,7.45128,1549,1970
Döttrar & Söner,Available,Available,2024-12-21 14:48:19,No Change,380656,Döttrar & Söner,2022,,(no votes),0.0,0,Not Ranked
Eldritch Horror,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,146021,Eldritch Horror,2013,Best with 4 players,Recommended with 1–6 players,7.74822,37229,122
Everdell (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,199792,Everdell,2018,Best with 3 players,Recommended with 1–4 players,8.01178,58271,38
Exit Kids: Gåtornas Djungel,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Exploding Kittens - Original Edition,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Famous Women Trivia Quiz,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Flamme Rouge,Available,Available,2024-12-21 14:48:19,No Change,199478,Flamme Rouge,2016,Best with 4 players,Recommended with 2–4 players,7.48692,18502,270
Flamme Rouge BMX (sv),Available,Available,2024-12-21 14:48:19,No Change,395256,Flamme Rouge BMX,2023,Best with 3–4 players,Recommended with 3–4 players,6.14576,59,18259
Foto Fish,Available,Available,2024-12-21 14:48:19,No Change,291550,Foto Fish,2020,Best with 2–3 players,Recommended with 2–4 players,6.41207,87,15726
Furnace,Available,Available,2024-12-21 14:48:19,No Change,318084,Furnace,2020,Best with 3–4 players,Recommended with 2–4 players,7.40891,11509,389
Galaxy Trucker,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,31481,Galaxy Trucker,2007,Best with 4 players,Recommended with 2–4 players,7.33888,34665,287
Gateway Island,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,356999,Gateway Island,2022,Best with 2–5 players,Recommended with 1–12 players,7.51704,366,5200
Genotype,Available,Available,2024-12-21 14:48:19,No Change,252752,Genotype: A Mendelian Genetics Game,2021,Best with 3–4 players,Recommended with 1–5 players,7.4607,2361,1225
Grove: 9 Card Solitaire Game,Available,Available,2024-12-21 14:48:19,No Change,329873,Grove: 9 card solitaire game,2021,Best with 1 players,Recommended with 1 players,7.60441,2226,1136
Gå på Plankan (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,367771,Stomp the Plank,2022,Best with 4 players,Recommended with 2–4 players,6.9269,617,4343
Hansa Teutonica Big Box,Available,Available,2024-12-21 14:48:19,No Change,286749,Hansa Teutonica: Big Box,2020,Best with 5 players,Recommended with 3–5 players,8.37805,5887,Not Ranked
Harmonies,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,414317,Harmonies,2024,Best with 2–3 players,Recommended with 1–4 players,8.01434,9273,142
Heckmeck Deluxe,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,245200,Heckmeck Deluxe,2018,Best with 4 players,Recommended with 2–6 players,7.01334,841,Not Ranked
HerStory,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,369436,HerStory,2022,Best with 3–4 players,Recommended with 2–5 players,6.7128,590,4940
Here to Slay,Available,Available,2024-12-21 14:48:19,No Change,299252,Here to Slay,2020,Best with 3–4 players,Recommended with 2–5 players,6.89896,6863,1473
Hint Go (sv),Available,Available,2024-12-21 14:48:19,No Change,165628,HINT,2014,"Best with 6, 8 players",Recommended with 4–10 players,6.6507,474,6351
Hissy Fit,Available,Available,2024-12-21 14:48:19,No Change,371333,Hissy Fit,2024,Best with 2 players,Recommended with 1–4 players,7.1875,100,10758
Hive Pocket (Gen42 only Edition),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,154597,Hive Pocket,2010,Best with 2 players,Recommended with 2 players,7.69671,13552,Not Ranked
Honey Buzz,Available,Available,2024-12-21 14:48:19,No Change,284742,Honey Buzz,2020,Best with 3 players,Recommended with 1–4 players,7.54284,7021,442
Horizons of Spirit Island,Available,Available,2024-12-21 14:48:19,No Change,367498,Horizons of Spirit Island,2022,Best with 2 players,Recommended with 1–3 players,8.18102,2349,642
Horrified,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,282524,Horrified,2019,Best with 3 players,Recommended with 1–5 players,7.62833,17533,213
Idiotkunskap,Available,Available,2024-12-21 14:48:19,No Change,125083,Things They Don't Teach You in School,2010,Best with 4 players,Recommended with 4 players,4.24286,70,26793
Imagine,Available,Available,2024-12-21 14:48:19,No Change,191894,Imagine,2015,Best with 4–6 players,Recommended with 3–8 players,6.82789,4346,1618
Jaws,Available,Available,2024-12-21 14:48:19,No Change,7563,Jaws,1975,Best with 2 players,Recommended with 2–4 players,4.88636,132,26859
Jekyll & Hyde vs Scotland Yard,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,377793,Jekyll & Hyde vs Scotland Yard,2023,Best with 2 players,Recommended with 2 players,7.42454,560,3737
Joking Hazard,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,193621,Joking Hazard,2016,Best with 5 players,Recommended with 3–7 players,6.2494,6192,3113
Just one (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,180694,Cocks Abreast Hostility: Cock Pack One – Just the Tip,2015,,(no votes),7.8125,8,Not Ranked
Karak,Available,Available,2024-12-21 14:48:19,No Change,241477,Karak,2017,Best with 3–4 players,Recommended with 2–5 players,7.19387,3266,1436
Kluster,Available,Available,2024-12-21 14:48:19,No Change,277458,Kluster,2018,Best with 3 players,Recommended with 2–4 players,6.6408,3180,2256
Kurragömma i Safariparken,Available,Available,2024-12-21 14:48:19,No Change,420073,Kurragömma i Safariparken,2020,,(no votes),7.5,1,Not Ranked
Kurragömma på Bondgården,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Land Vs Sea,Available,Available,2024-12-21 14:48:19,No Change,336929,Land vs Sea,2021,Best with 2 players,Recommended with 2–4 players,7.11099,2473,1608
Leaf,Available,Available,2024-12-21 14:48:19,No Change,368676,Leaf,2023,Best with 3 players,Recommended with 1–4 players,7.4444,893,2798
Lofoten,Available,Available,2024-12-21 14:48:19,No Change,361905,Lofoten,2022,Best with 2 players,Recommended with 2 players,6.61605,391,6718
London 2nd Edition,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Long Shot The Dice Game,Available,Available,2024-12-21 14:48:19,No Change,295374,Long Shot: The Dice Game,2022,Best with 4–5 players,Recommended with 1–8 players,7.6065,8514,321
Lost Cities,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,50,Lost Cities,1999,Best with 2 players,Recommended with 2 players,7.24594,47714,333
Mandala,Available,Available,2024-12-21 14:48:19,No Change,2991,Mandala,1983,Best with 3–4 players,Recommended with 2–4 players,5.69286,42,23523
Maquis,Available,Available,2024-12-22 12:43:11,No Change,148729,Maquis,2013,Best with 1 players,Recommended with 1 players,7.45694,3967,814
Marabunta,Available,Available,2024-12-21 14:48:19,No Change,403265,Marabunta,2023,Best with 2 players,Recommended with 2 players,7.52174,730,2968
Mille Fiori,Available,Available,2024-12-21 14:48:19,No Change,346501,Mille Fiori,2021,Best with 4 players,Recommended with 3–4 players,7.42442,4367,748
Mini Rogue,Available,Available,2024-12-21 14:48:19,No Change,311715,Mini Rogue,2020,Best with 1 players,Recommended with 1–2 players,7.36939,2749,1289
Mio: Brädspelet,Available,Available,2024-12-21 14:48:19,No Change,339703,Mio: Brädspelet,2021,Best with 3–5 players,Recommended with 1–5 players,6.13571,28,Not Ranked
Monikers Classic (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,283151,Monikers: Classics,2019,Best with 8–12 players,Recommended with 6–16 players,8.16561,257,Not Ranked
Monolyth,Available,Available,2024-12-21 14:48:19,No Change,373759,Monolyth,2022,Best with 2 players,Recommended with 1–4 players,7.03703,379,5479
Mosaic A Story of Civilization,Available,Available,2024-12-21 14:48:19,No Change,329551,Mosaic: A Story of Civilization,2022,Best with 4 players,Recommended with 3–5 players,7.51563,4201,719
Munchkin Deluxe,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,1927,Munchkin,2001,Best with 4 players,Recommended with 3–6 players,5.87262,50609,6039
Myretuen (Myrstacken),Available,Available,2024-12-21 14:48:19,No Change,3305,Anticipation,1987,Best with 4 players,Recommended with 3–4 players,5.73329,167,20065
Noobs in Space,Available,Available,2024-12-21 14:48:19,No Change,376472,Noobs in Space,2023,Best with 4 players,Recommended with 3–5 players,7.14959,609,3925
Nåt Ska Bort,Available,Available,2024-12-21 14:48:19,No Change,365429,Nåt ska bort,2019,,(no votes),5.57143,7,Not Ranked
Oh S#!? (Oh Shit/ No Thanks!),Available,Available,2024-12-21 14:48:19,No Change,12942,No Thanks!,2004,Best with 4–5 players,Recommended with 3–7 players,7.07825,28112,521
Pagan: Fate of Roanoke,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,319910,Pagan: Fate of Roanoke,2022,Best with 2 players,Recommended with 2 players,8.02217,2846,623
Pandemic Hot Zone - Europe (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Perspectives,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,168325,Perspectives,2013,,(no votes),5.66667,3,Not Ranked
Photosynthesis,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,218603,Photosynthesis,2017,Best with 3 players,Recommended with 2–4 players,6.96281,24443,714
Planet,Available,Available,2024-12-21 14:48:19,No Change,252929,Planet,2018,Best with 4 players,Recommended with 2–4 players,6.65321,5719,1688
Point City,Available,Available,2024-12-21 14:48:19,No Change,368017,Point City,2023,Best with 2 players,Recommended with 1–4 players,7.20983,3394,1171
Port Royal: The Dice Game,Available,Available,2024-12-21 14:48:19,No Change,401779,Port Royal: The Dice Game,2023,Best with 3 players,Recommended with 3–4 players,6.32889,139,11958
Power Grid Recharged (2nd Edition),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,2651,Power Grid,2004,Best with 4–5 players,Recommended with 3–6 players,7.80629,66511,66
På 5 sekunder,Available,Available,2024-12-21 14:48:19,No Change,25088,Lätt och lagom,2004,,(no votes),4.22727,11,Not Ranked
Qawale,Available,Available,2024-12-21 14:48:19,No Change,368465,Qawale,2022,Best with 2 players,Recommended with 2 players,7.01191,777,3789
Quiznödig - Hemma,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Quiznödig - På Festen,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Race for the Galaxy,Available,Available,2024-12-21 14:48:19,No Change,28143,Race for the Galaxy,2007,Best with 2 players,Recommended with 2–4 players,7.74335,56444,81
Radlands,Available,Available,2024-12-21 14:48:19,No Change,329082,Radlands,2021,Best with 2 players,Recommended with 2 players,7.8127,11514,191
Red Cathedral,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,227224,The Red Cathedral,2020,Best with 3 players,Recommended with 1–4 players,7.69221,13183,206
Red Rising,Available,Available,2024-12-21 14:48:19,No Change,329465,Red Rising,2021,Best with 3 players,Recommended with 1–4 players,6.99035,8338,988
Rhino Hero,Available,Available,2024-12-21 14:48:19,No Change,91514,Rhino Hero,2011,Best with 3 players,Recommended with 2–5 players,6.90323,11515,956
Scout,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,26681,Scout,1985,,(no votes),6.4,5,Not Ranked
Sea Salt & Paper,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,367220,Sea Salt & Paper,2022,Best with 2 players,Recommended with 2–4 players,7.48442,12555,332
Sequence,Available,Available,2024-12-21 14:48:19,No Change,2375,Sequence,1982,Best with 3–4 players,"Recommended with 2–4, 6 players",6.13546,10974,3355
Set: The Family Game of Visual Perception,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Setup (sv),Available,Available,2024-12-21 14:48:19,No Change,161730,Dungeon Lords: Dungeon-Setup Tiles,2014,Best with 4 players,Recommended with 2–4 players,8.14435,62,Not Ranked
Sheriff Of Nottingham (sv),Available,Available,2024-12-21 14:48:19,No Change,396607,Disney Robin Hood: Sheriff of Nottingham Game,2023,Best with 5 players,Recommended with 3–5 players,7.16187,112,10246
Sherlock: Death on The 4th of July,Available,Available,2024-12-21 14:48:19,No Change,250779,Sherlock: Death on the 4th of July,2018,Best with 4 players,Recommended with 2–4 players,6.40478,964,4803
Sherlock: The Tomb of The Archaeologist,Available,Available,2024-12-21 14:48:19,No Change,247436,Sherlock: The Tomb of the Archaeologist,2018,"Best with 2, 4 players",Recommended with 2–4 players,6.62425,1169,3735
Side Quest: Nemesis,Available,Available,2024-12-21 14:48:19,No Change,387538,Side Quest: Nemesis,2023,Best with 1–2 players,Recommended with 1–2 players,6.95207,242,7347
Sirens,Available,Available,2024-12-21 14:48:19,No Change,375616,Sirens,2024,Best with 1–2 players,Recommended with 1–2 players,7.13933,150,12059
Skyrockets Festivals of Fire,Available,Available,2024-12-21 14:48:19,No Change,398684,Skyrockets: Festivals of Fire,2023,Best with 3 players,Recommended with 2–5 players,7.10827,280,6100
Sleeping Queens,Available,Available,2024-12-21 14:48:19,No Change,17053,Sleeping Queens,2005,Best with 4–5 players,Recommended with 2–5 players,6.48425,4835,2458
Sobek: 2 Players,Available,Available,2024-12-21 14:48:19,No Change,332944,Sobek: 2 Players,2021,Best with 2 players,Recommended with 2 players,7.16356,2505,1529
Splendor Duel (sv),Available,Available,2024-12-21 14:48:19,No Change,364073,Splendor Duel,2022,Best with 2 players,Recommended with 2 players,7.91781,13196,112
Spots,Available,Available,2024-12-21 14:48:19,No Change,16324,Spots,2000,,(no votes),4.0,2,Not Ranked
Star Realms Deckbuilding Game,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
TEAM3 - Pink,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Taco Back Goat Cheese Pizza (sv + en),Available,Available,2024-12-21 14:48:19,No Change,341876,Taco Back Goat Cheese Pizza,2020,Best with 6 players,Recommended with 2–8 players,6.92519,323,6480
Takenoko,Available,Available,2024-12-21 14:48:19,No Change,70919,Takenoko,2011,Best with 3 players,Recommended with 2–4 players,7.2094,45638,401
Terra Nova,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,20022,Terra Nova,2006,Best with 2 players,Recommended with 2–4 players,6.4413,1794,3457
Terraforming Mars,Available,Available,2024-12-21 14:48:19,No Change,167791,Terraforming Mars,2016,Best with 3 players,Recommended with 1–4 players,8.35334,102805,7
