name,state_previous,state_current,state_since,status
Idiotkunskap,,,2025-01-16 17:02:50,New Game
Imagine,Available,Available,2024-12-26 11:08:30,No Change
Jaws,Available,Available,2025-01-16 17:02:50,No Change
Jekyll & Hyde vs Scotland Yard,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Joking Hazard,Available,Available,2025-01-20 09:57:43,No Change
Just one (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Karak,Available,Available,2024-12-26 11:08:30,No Change
King of Tokyo (sv),Available,Available,2025-01-16 17:02:50,No Change
Kluster,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Kurragömma i Safariparken,Available,Available,2024-12-26 11:08:30,No Change
Kurragömma på Bondgården,,,2025-01-16 17:02:50,New Game
Land Vs Sea,Available,Available,2024-12-26 11:08:30,No Change
Leaf,Available,Available,2024-12-26 11:08:30,No Change
Lofoten,Available,Available,2024-12-26 11:08:30,No Change
London 2nd Edition,Available,Available,2024-12-26 11:08:30,No Change
Long Shot The Dice Game,Available,Available,2024-12-26 11:08:30,No Change
Lost Cities,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Magic Maze,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Mandala,Available,Available,2024-12-26 11:08:30,No Change
Maquis,Available,Available,2024-12-26 11:08:30,No Change
Marabunta,Unavailable,Unavailable,2025-01-07 15:48:29,No Change
Meadow,Available,Available,2025-01-16 17:02:50,No Change
Mille Fiori,Available,Available,2024-12-26 11:08:30,No Change
Mini Rogue,Available,Available,2024-12-26 11:08:30,No Change
Mio: Brädspelet,Available,Available,2024-12-26 11:08:30,No Change
Mists over Carcassonne (sv),Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Monikers Classic (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Monolyth,Available,Available,2024-12-26 11:08:30,No Change
Mosaic A Story of Civilization,Unavailable,Unavailable,2025-01-07 15:48:29,No Change
Munchkin Deluxe,Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Myretuen (Myrstacken),,,2025-01-16 17:02:50,New Game
Nexus Ops,Available,Available,2025-01-07 15:48:29,No Change
Noobs in Space,Available,Available,2024-12-26 11:08:30,No Change
Nåt Ska Bort,,,2025-01-16 17:02:50,New Game
Oh S#!? (Oh Shit/ No Thanks!),Available,Available,2024-12-26 11:08:30,No Change
Pagan: Fate of Roanoke,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Pandemic Hot Zone - Europe (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Perspectives,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Photosynthesis,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Planet,Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Point City,Available,Available,2024-12-26 11:08:30,No Change
Port Royal: The Dice Game,Available,Available,2024-12-26 11:08:30,No Change
Power Grid Recharged (2nd Edition),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
På 5 sekunder,,,2025-01-16 17:02:50,New Game
Qawale,Available,Available,2024-12-26 11:08:30,No Change
Quiznödig - Hemma,Available,Available,2024-12-26 11:08:30,No Change
Quiznödig - På Festen,Available,Available,2024-12-26 11:08:30,No Change
Race for the Galaxy,Available,Available,2024-12-26 11:08:30,No Change
Radlands,Available,Available,2025-01-16 17:02:50,No Change
Red Cathedral,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Red Rising,Available,Available,2024-12-26 11:08:30,No Change
Rhino Hero,Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Scout,Unavailable,Unavailable,2025-01-20 09:57:43,No Change
Sea Salt & Paper,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Sequence,Available,Available,2024-12-26 11:08:30,No Change
Set: The Family Game of Visual Perception,Available,Available,2024-12-26 11:08:30,No Change
Setup (sv),Available,Available,2024-12-26 11:08:30,No Change
Sheriff Of Nottingham (sv),Unavailable,Unavailable,2025-01-07 15:48:29,No Change
Sherlock: Death on The 4th of July,Available,Available,2024-12-26 11:08:30,No Change
Sherlock: The Tomb of The Archaeologist,Available,Available,2024-12-26 11:08:30,No Change
Side Quest: Nemesis,Available,Available,2025-01-07 15:48:29,No Change
Sirens,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
Skyrockets Festivals of Fire,Available,Available,2024-12-26 11:08:30,No Change
Sleeping Queens,Available,Available,2024-12-26 11:08:30,No Change
Sobek: 2 Players,Available,Available,2024-12-26 11:08:30,No Change
Sonar Family,Available,Available,2025-01-16 17:02:50,No Change
Splendor Duel (sv),Available,Available,2024-12-26 11:08:30,No Change
Spots,Available,Available,2024-12-26 11:08:30,No Change
Star Realms Deckbuilding Game,Available,Available,2024-12-26 11:08:30,No Change
Surfosaurus MAX,Unavailable,Unavailable,2025-01-16 17:02:50,No Change
TEAM3 - Pink,Available,Available,2024-12-26 11:08:30,No Change
Taco Back Goat Cheese Pizza (sv + en),Available,Available,2024-12-26 11:08:30,No Change
Takenoko,Available,Available,2024-12-26 11:08:30,No Change
Terra Nova,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Terraforming Mars,Unavailable,Unavailable,2025-01-02 08:46:25,No Change
The Adventures of Robin Hood (en),Available,Available,2025-01-07 15:48:29,No Change
The Fox in the Forest,Available,Available,2024-12-26 11:08:30,No Change
The Guild of Merchant Explorers,Available,Available,2024-12-26 11:08:30,No Change
The King Is Dead: Second Edition,Available,Available,2024-12-26 11:08:30,No Change
The Lord of the Rings Adventure Book Game,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
The Lord of the Rings: Duel for Middle-earth (SV),Available,Unavailable,2025-01-24 13:22:32,State Change
The Resistance (Sv),Available,Available,2025-01-20 09:57:43,No Change
The Witcher: Old World (SV),Available,Available,2024-12-26 11:08:30,No Change
Ticket to Ride: Europe,Unavailable,Unavailable,2025-01-03 09:44:43,No Change
Tiletum,Available,Available,2024-12-26 11:08:30,No Change
Tower Up,Available,Available,2025-01-07 15:48:29,No Change
Unlock! Escape Adventures (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Unlock! Escape Adventures (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Unlock! Kids: Detective Stories (sv),Available,Available,2024-12-26 11:08:30,No Change
Unmatched Battle Of Legends Volume One,Available,Available,2024-12-26 11:08:30,No Change
Unmatched Jurassic Park; Dr. Sattler vs. T. Rex,Available,Available,2024-12-26 11:08:30,No Change
Unmatched: Brains and Brawn,,,2025-01-24 11:43:30,New Game
Votes For Women,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
War Chest,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Wavelength (sv + eng),Available,Available,2025-01-16 17:02:50,No Change
What Do You Meme? Recently Refreshed,Unavailable,Unavailable,2024-12-26 11:08:30,No Change
Witchstone,Available,Available,2024-12-26 11:08:30,No Change
World Wonders,Unavailable,Unavailable,2025-01-24 11:43:30,No Change
Årtalsmästarna,Available,Available,2024-12-26 11:08:30,No Change
