title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,id
Dorfromantik: The Duel,2023,Best with 2 players,Recommended with 2 players,7.09678,366,5588,395364
Dragomino,2020,Best with 3–4 players,Recommended with 2–4 players,7.0627,2479,1732,300010
DubbelYatzy,2013,Best with 2 players,Recommended with 1–6 players,6.19355,31,21316,146227
Dungeon Mayhem: Monster Madness,2020,Best with 4 players,Recommended with 2–6 players,7.45128,1549,1970,295577
Eldritch Horror,2013,Best with 4 players,Recommended with 1–6 players,7.74821,37250,122,146021
Everdell,2018,Best with 3 players,Recommended with 1–4 players,8.0114,58349,38,199792
Flamme Rouge,2016,Best with 4 players,Recommended with 2–4 players,7.48691,18515,270,199478
Flamme Rouge BMX,2023,Best with 3–4 players,Recommended with 3–4 players,6.14576,59,18267,395256
Foto Fish,2020,Best with 2–3 players,Recommended with 2–4 players,6.41207,87,15738,291550
Galaxy Trucker,2007,Best with 4 players,Recommended with 2–4 players,7.3388,34678,287,31481
Gateway Island,2022,Best with 2–5 players,Recommended with 1–12 players,7.51701,366,5202,356999
Genotype: A Mendelian Genetics Game,2021,Best with 3–4 players,Recommended with 1–5 players,7.46073,2363,1225,252752
Grove: 9 card solitaire game,2021,Best with 1 players,Recommended with 1 players,7.60539,2229,1136,329873
Stomp the Plank,2022,Best with 4 players,Recommended with 2–4 players,6.92552,619,4343,367771
Harmonies,2024,Best with 2–3 players,Recommended with 1–4 players,8.01314,9388,143,414317
Heckmeck Deluxe,2018,Best with 4 players,Recommended with 2–6 players,7.01334,841,Not Ranked,245200
HerStory,2022,Best with 3–4 players,Recommended with 2–5 players,6.7128,590,4944,369436
Here to Slay,2020,Best with 3–4 players,Recommended with 2–5 players,6.89981,6880,1474,299252
HINT,2014,"Best with 6, 8 players",Recommended with 4–10 players,6.6507,474,6352,165628
Hive Pocket,2010,Best with 2 players,Recommended with 2 players,7.69581,13560,Not Ranked,154597
Honey Buzz,2020,Best with 3 players,Recommended with 1–4 players,7.54323,7042,442,284742
Horizons of Spirit Island,2022,Best with 2 players,Recommended with 1–3 players,8.17992,2355,641,367498
Horrified,2019,Best with 3 players,Recommended with 1–5 players,7.6277,17549,213,282524
Things They Don't Teach You in School,2010,Best with 4 players,Recommended with 4 players,4.24286,70,26809,125083
Jaws,1975,Best with 2 players,Recommended with 2–4 players,4.88636,132,26874,7563
Jekyll & Hyde vs Scotland Yard,2023,Best with 2 players,Recommended with 2 players,7.42255,565,3731,377793
Joking Hazard,2016,Best with 5 players,Recommended with 3–7 players,6.24843,6200,3114,193621
Cocks Abreast Hostility: Cock Pack One – Just the Tip,2015,,(no votes),7.8125,8,Not Ranked,180694
Karak,2017,Best with 3–4 players,Recommended with 2–5 players,7.19373,3274,1430,241477
Kurragömma i Safariparken,2020,,(no votes),7.5,1,Not Ranked,420073
Land vs Sea,2021,Best with 2 players,Recommended with 2–4 players,7.11099,2473,1607,336929
Leaf,2023,Best with 3 players,Recommended with 1–4 players,7.43969,898,2794,368676
Lofoten,2022,Best with 2 players,Recommended with 2 players,6.60937,392,6740,361905
Long Shot: The Dice Game,2022,Best with 4–5 players,Recommended with 1–8 players,7.60626,8527,321,295374
Mandala,1983,Best with 3–4 players,Recommended with 2–4 players,5.69286,42,23535,2991
