name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,played,wishlist
Surfosaurus MAX,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,394887,Surfosaurus MAX,2023.0,Best with 3 players,Recommended with 3–6 players,6.99008,703.0,3903,False,False
TEAM3 - Pink,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Taco Back Goat Cheese Pizza (sv + en),Available,Available,2024-12-26 11:08:30,No Change,341876,Taco Back Goat Cheese Pizza,2020.0,Best with 6 players,Recommended with 2–8 players,6.92519,323.0,6484,False,False
Takenoko,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,70919,Takenoko,2011.0,Best with 3 players,Recommended with 2–4 players,7.20931,45646.0,403,False,False
Terra Nova,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,20022,Terra Nova,2006.0,Best with 2 players,Recommended with 2–4 players,6.44161,1795.0,3457,False,False
Terraforming Mars,Unavailable,Unavailable,2025-01-02 08:46:25,No Change,167791,Terraforming Mars,2016.0,Best with 3 players,Recommended with 1–4 players,8.35311,102865.0,7,True,True
The Adventures of Robin Hood (en),Available,Available,2025-01-07 15:48:29,No Change,326494,The Adventures of Robin Hood,2021.0,Best with 2 players,Recommended with 1–4 players,7.47263,4347.0,751,False,False
The Fox in the Forest,Available,Available,2024-12-26 11:08:30,No Change,221965,The Fox in the Forest,2017.0,Best with 2 players,Recommended with 2 players,7.08307,16547.0,620,False,True
The Guild of Merchant Explorers,Available,Available,2024-12-26 11:08:30,No Change,350933,The Guild of Merchant Explorers,2022.0,Best with 2 players,Recommended with 1–4 players,7.68572,5387.0,424,False,False
The King Is Dead: Second Edition,Available,Available,2024-12-26 11:08:30,No Change,319966,The King Is Dead: Second Edition,2020.0,Best with 3 players,Recommended with 2–4 players,7.63011,7427.0,345,False,False
The Lord of the Rings Adventure Book Game,Available,Available,2025-01-27 08:46:43,No Change,379005,The Lord of the Rings Adventure Book Game,2023.0,Best with 2 players,Recommended with 1–2 players,7.19514,787.0,3429,False,True
The Lord of the Rings: Duel for Middle-earth (SV),Unavailable,Unavailable,2025-01-24 13:22:32,No Change,421006,The Lord of the Rings: Duel for Middle-earth,2024.0,Best with 2 players,Recommended with 2 players,8.44584,6443.0,84,True,False
The Resistance (Sv),Available,Available,2025-01-20 09:57:43,No Change,41114,The Resistance,2009.0,Best with 7 players,Recommended with 5–10 players,7.20503,41490.0,412,False,False
The Witcher: Old World (SV),Available,Available,2024-12-26 11:08:30,No Change,331106,The Witcher: Old World,2023.0,Best with 2–3 players,Recommended with 1–3 players,7.95594,6677.0,353,False,True
Ticket to Ride: Europe,Unavailable,Unavailable,2025-01-03 09:44:43,No Change,14996,Ticket to Ride: Europe,2005.0,Best with 4 players,Recommended with 2–5 players,7.52762,78792.0,169,True,False
Tiletum,Available,Available,2024-12-26 11:08:30,No Change,351913,Tiletum,2022.0,Best with 2–3 players,Recommended with 1–3 players,7.89544,5528.0,305,True,False
Tower Up,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,393307,Tower Up,2024.0,Best with 3–4 players,Recommended with 2–4 players,7.5551,681.0,3058,False,False
Unlock! Escape Adventures (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,213460,Unlock!: Escape Adventures,2017.0,Best with 2 players,Recommended with 1–4 players,7.34752,6632.0,Not Ranked,False,True
Unlock! Escape Adventures (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,213460,Unlock!: Escape Adventures,2017.0,Best with 2 players,Recommended with 1–4 players,7.34752,6632.0,Not Ranked,False,False
Unlock! Kids: Detective Stories (sv),Available,Available,2024-12-26 11:08:30,No Change,327056,Unlock! Kids: Detective Stories,2021.0,Best with 2 players,Recommended with 1–2 players,7.70004,984.0,2090,False,False
Unmatched Battle Of Legends Volume One,Available,Available,2024-12-26 11:08:30,No Change,274637,"Unmatched: Battle of Legends, Volume One",2019.0,Best with 2 players,"Recommended with 2, 4 players",7.72149,9593.0,265,False,False
Unmatched Jurassic Park; Dr. Sattler vs. T. Rex,Available,Available,2024-12-26 11:08:30,No Change,284778,Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,2022.0,Best with 2 players,Recommended with 2 players,8.04454,1408.0,1356,False,False
Unmatched: Brains and Brawn,,,2025-01-24 11:43:30,Removed,383467,Unmatched: Brains and Brawn,2023.0,Best with 2 players,Recommended with 2–3 players,8.31588,654.0,2474,False,False
Votes For Women,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,32824,Panko or Votes for Women,1910.0,,(no votes),0.0,0.0,Not Ranked,False,False
War Chest,Available,Available,2025-01-27 08:46:43,No Change,249259,War Chest,2018.0,Best with 2 players,"Recommended with 2, 4 players",7.83912,10732.0,184,False,False
Wavelength (sv + eng),Available,Available,2025-01-16 17:02:50,No Change,262543,Wavelength,2019.0,"Best with 6, 8 players",Recommended with 4–12 players,7.25423,14669.0,474,False,True
What Do You Meme? Recently Refreshed,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Witchstone,Available,Available,2024-12-26 11:08:30,No Change,318560,Witchstone,2021.0,Best with 3 players,Recommended with 2–4 players,7.53415,3458.0,811,False,False
World Wonders,Unavailable,Unavailable,2025-01-24 11:43:30,No Change,365258,World Wonders,2023.0,Best with 3 players,Recommended with 1–4 players,7.63187,4587.0,581,False,False
Årtalsmästarna,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
