name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,played,wishlist
Catch the Moon (en),Available,Available,2024-12-26 11:08:30,No Change,218129,Catch the Moon,2017.0,Best with 3–4 players,Recommended with 1–5 players,6.74506,1877.0,2682,False,False
Century: Spice Road (sv),Unavailable,Unavailable,2025-01-16 17:02:50,No Change,209685,Century: Spice Road,2017.0,Best with 3–4 players,Recommended with 2–5 players,7.3001,26086.0,357,False,False
Ceylon,Available,Available,2024-12-26 11:08:30,No Change,59969,Ceylon,2009.0,,(no votes),6.25,2.0,Not Ranked,False,False
Chess/Schack (2706),Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,True,False
Chronicles of Crime,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,239188,Chronicles of Crime,2018.0,Best with 2 players,Recommended with 1–3 players,7.57117,23266.0,293,True,False
Citadels (Revised),Available,Available,2025-01-27 08:46:43,No Change,478,Citadels,2000.0,Best with 5 players,Recommended with 2–7 players,7.05861,55385.0,536,False,False
Cluedo: Svek på Swartwiks herrgård,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,369483,Clue: Treachery at Tudor Mansion,2022.0,Best with 4 players,Recommended with 2–6 players,6.32346,306.0,9397,False,False
Codenames (Svenska),Unavailable,Unavailable,2025-01-16 17:02:50,No Change,178900,Codenames,2015.0,"Best with 6, 8 players",Recommended with 4–8+ players,7.53607,95820.0,151,False,False
Codenames Duet,Available,Available,2024-12-26 11:08:30,No Change,224037,Codenames: Duet,2017.0,Best with 2 players,Recommended with 2 players,7.42675,24049.0,258,False,False
Coffee Rush (sv),Available,Available,2025-01-16 17:02:50,No Change,377061,Coffee Rush,2023.0,Best with 3 players,Recommended with 2–4 players,7.15307,2011.0,1990,False,False
Concept,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,147151,Concept,2013.0,Best with 6 players,Recommended with 3–12 players,6.75345,20763.0,1041,False,False
Copenhagen (sv),Available,Available,2025-01-16 17:02:50,No Change,269595,Copenhagen,2019.0,Best with 4 players,Recommended with 2–4 players,6.96252,4121.0,1363,False,False
Coup (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,1653,Coup,1991.0,Best with 2 players,Recommended with 2 players,5.15647,85.0,25525,False,False
Det borde man ju veta!,Available,Available,2024-12-26 11:08:30,No Change,137167,...I should have known that!,2011.0,"Best with 2, 4 players",Recommended with 2–4 players,5.13047,153.0,26357,False,False
Dixit,Available,Available,2025-01-20 09:57:43,No Change,39856,Dixit,2008.0,Best with 5–6 players,Recommended with 4–8 players,7.19454,66408.0,394,False,False
Dobble (aka Spot It!),Unavailable,Unavailable,2025-01-27 08:46:43,No Change,63268,Spot it!,2009.0,Best with 4–5 players,Recommended with 2–7 players,6.54638,19895.0,1526,False,False
Dorfromantik (en),Unavailable,Unavailable,2025-01-16 17:02:50,No Change,406315,Dorfromantik: Expansion Content from Dorfromantik – The Duel,2023.0,,(no votes),7.66667,15.0,Not Ranked,False,True
Dorfromantik: The Duel,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,395364,Dorfromantik: The Duel,2023.0,Best with 2 players,Recommended with 2 players,7.09678,366.0,5588,False,True
Dragomino,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,300010,Dragomino,2020.0,Best with 3–4 players,Recommended with 2–4 players,7.0627,2479.0,1732,False,False
DubbelYatzy,Available,Available,2025-01-20 09:57:43,No Change,146227,DubbelYatzy,2013.0,Best with 2 players,Recommended with 1–6 players,6.19355,31.0,21316,False,False
